Destination ,Year,Export,Type
Malaysia,2012,18.107182,Fruit
Malaysia,2013,25.2952,Fruit
Malaysia,2014,25.9835,Fruit
Malaysia,2015,31.8551,Fruit
Malaysia,2016,65.807,Fruit
Malaysia,2017,41.2396,Fruit
Malaysia,2018,71.6196,Fruit
Vietnam,2012,23.594841,Fruit
Vietnam,2013,33.5937,Fruit
Vietnam,2014,57.9264,Fruit
Vietnam,2015,83.1654,Fruit
Vietnam,2016,91.2345,Fruit
Vietnam,2017,87.1333,Fruit
Vietnam,2018,73.0127,Fruit
China,2012,16.031333,Fruit
China,2013,8.0075,Fruit
China,2014,49.4008,Fruit
China,2015,51.2102,Fruit
China,2016,51.9395,Fruit
China,2017,71.7459,Fruit
China,2018,50.8152,Fruit
Thailand,2012,3.37294,Fruit
Thailand,2013,5.6919,Fruit
Thailand,2014,15.3516,Fruit
Thailand,2015,20.5137,Fruit
Thailand,2016,31.1425,Fruit
Thailand,2017,107.1047,Fruit
Thailand,2018,42.3257,Fruit
India ,2012,55.746302,Fruit
India ,2013,24.6175,Fruit
India ,2014,14.6547,Fruit
India ,2015,36.1422,Fruit
India ,2016,16.8517,Fruit
India ,2017,28.1559,Fruit
India ,2018,14.6451,Fruit
Japan,2012,0.128178,Fruit
Japan,2013,0.1337,Fruit
Japan,2014,0.1835,Fruit
Japan,2015,2.1193,Fruit
Japan,2016,5.0786,Fruit
Japan,2017,2.636,Fruit
Japan,2018,2.7302,Fruit
Hongkong,2012,7.470266,Fruit
Hongkong,2013,1.8231,Fruit
Hongkong,2014,1.5446,Fruit
Hongkong,2015,4.253,Fruit
Hongkong,2016,4.6172,Fruit
Hongkong,2017,1.3439,Fruit
Hongkong,2018,3.393,Fruit
United Arab Emirates,2012,1.998606,Fruit
United Arab Emirates,2013,1.6959,Fruit
United Arab Emirates,2014,3.2025,Fruit
United Arab Emirates,2015,4.0051,Fruit
United Arab Emirates,2016,3.3835,Fruit
United Arab Emirates,2017,3.1211,Fruit
United Arab Emirates,2018,6.2488,Fruit
Singapore,2012,7.465939,Fruit
Singapore,2013,6.881,Fruit
Singapore,2014,5.1792,Fruit
Singapore,2015,4.168,Fruit
Singapore,2016,2.7189,Fruit
Singapore,2017,3.9464,Fruit
Singapore,2018,4.5891,Fruit
Nigeria,2012,0.119,Fruit
Nigeria,2013,0.1936,Fruit
Nigeria,2014,0.3196,Fruit
Nigeria,2015,0.8448,Fruit
Nigeria,2016,1.8177,Fruit
Nigeria,2017,0.4272,Fruit
Nigeria,2018,0.4727,Fruit
Others,2012,34.306877,Fruit
Others,2013,11.7016,Fruit
Others,2014,10.9882,Fruit
Others,2015,10.8676,Fruit
Others,2016,7.3712,Fruit
Others,2017,15.1915,Fruit
Others,2018,27.9296,Fruit
Singapore,2012,63.047548,Base Precious Metal
Singapore,2013,70.5837,Base Precious Metal
Singapore,2014,109.051,Base Precious Metal
Singapore,2015,104.4353,Base Precious Metal
Singapore,2016,137.2626,Base Precious Metal
Singapore,2017,120.4207,Base Precious Metal
Singapore,2018,5.6758,Base Precious Metal
Japan,2012,3.93655,Base Precious Metal
Japan,2013,4.2782,Base Precious Metal
Japan,2014,10.0427,Base Precious Metal
Japan,2015,81.9415,Base Precious Metal
Japan,2016,83.5183,Base Precious Metal
Japan,2017,101.0929,Base Precious Metal
Japan,2018,131.7115,Base Precious Metal
Hongkong ,2012,21.530317,Base Precious Metal
Hongkong ,2013,20.1078,Base Precious Metal
Hongkong ,2014,19.8398,Base Precious Metal
Hongkong ,2015,28.7438,Base Precious Metal
Hongkong ,2016,59.4091,Base Precious Metal
Hongkong ,2017,68.5166,Base Precious Metal
Hongkong ,2018,80.6743,Base Precious Metal
United Kingdom,2012,19.066998,Base Precious Metal
United Kingdom,2013,38.8615,Base Precious Metal
United Kingdom,2014,47.7019,Base Precious Metal
United Kingdom,2015,61.2857,Base Precious Metal
United Kingdom,2016,50.7696,Base Precious Metal
United Kingdom,2017,84.372,Base Precious Metal
United Kingdom,2018,77.712,Base Precious Metal
Australia ,2012,35.060665,Base Precious Metal
Australia ,2013,36.2126,Base Precious Metal
Australia ,2014,34.7344,Base Precious Metal
Australia ,2015,32.1772,Base Precious Metal
Australia ,2016,28.1707,Base Precious Metal
Australia ,2017,47.5992,Base Precious Metal
Australia ,2018,57.5171,Base Precious Metal
Switzerland,2012,30.060988,Base Precious Metal
Switzerland,2013,18.666,Base Precious Metal
Switzerland,2014,27.1147,Base Precious Metal
Switzerland,2015,27.4421,Base Precious Metal
