Origin,Year,Import,Type
China,2013,355.6945,Alumunium
China,2014,530.1016,Alumunium
China,2015,410.8434,Alumunium
China,2016,389.1045,Alumunium
China,2017,597.8323,Alumunium
United States,2013,274.8115,Alumunium
United States,2014,174.1966,Alumunium
United States,2015,110.3814,Alumunium
United States,2016,113.9087,Alumunium
United States,2017,145.9519,Alumunium
Turki,2013,103.4937,Alumunium
Turki,2014,114.1909,Alumunium
Turki,2015,83.9307,Alumunium
Turki,2016,98.8995,Alumunium
Turki,2017,110.5287,Alumunium
Brazil,2013,109.3337,Alumunium
Brazil,2014,86.3761,Alumunium
Brazil,2015,96.4183,Alumunium
Brazil,2016,97.6484,Alumunium
Brazil,2017,112.5304,Alumunium
Zimbabwe,2013,129.6232,Alumunium
Zimbabwe,2014,109.3021,Alumunium
Zimbabwe,2015,83.3562,Alumunium
Zimbabwe,2016,96.8089,Alumunium
Zimbabwe,2017,100.73,Alumunium
India,2013,60.1671,Alumunium
India,2014,58.843,Alumunium
India,2015,57.5092,Alumunium
India,2016,75.1033,Alumunium
India,2017,86.131,Alumunium
Srilanka,2013,107.8774,Alumunium
Srilanka,2014,77.9556,Alumunium
Srilanka,2015,59.3852,Alumunium
Srilanka,2016,64.3474,Alumunium
Srilanka,2017,74.8216,Alumunium
Italy ,2013,24.2219,Alumunium
Italy ,2014,34.7943,Alumunium
Italy ,2015,43.0022,Alumunium
Italy ,2016,62.3231,Alumunium
Italy ,2017,76.0296,Alumunium
Hongkong,2013,99.1345,Alumunium
Hongkong,2014,95.0603,Alumunium
Hongkong,2015,86.9596,Alumunium
Hongkong,2016,62.0695,Alumunium
Hongkong,2017,63.8601,Alumunium
Greece,2013,47.0928,Alumunium
Greece,2014,43.3965,Alumunium
Greece,2015,56.8088,Alumunium
Greece,2016,57.143,Alumunium
Greece,2017,43.3998,Alumunium
Others,2013,466.0151,Alumunium
Others,2014,332.1676,Alumunium
Others,2015,380.2195,Alumunium
Others,2016,302.8489,Alumunium
Others,2017,462.6377,Alumunium
Vietnam,2000,0,Cement
Vietnam,2001,0,Cement
Vietnam,2002,0,Cement
Vietnam,2003,0,Cement
Vietnam,2004,0,Cement
Vietnam,2005,0,Cement
